Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Completed Work Items,Lock Contentions,Exceptions,Code Size
CountAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,833.041 ns,3.1324 ns,2.7768 ns,0.7421 ns,826.758 ns,831.815 ns,833.787 ns,834.484 ns,836.999 ns,"1,200,421.4",6.6289 ns,14.00,2.612,2.000,-0.6232,11,*,No,1.0265,0.0000,0.0000,"1,868 B"
CountAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,817.086 ns,12.9501 ns,12.1135 ns,3.1277 ns,797.468 ns,809.864 ns,818.237 ns,823.299 ns,843.293 ns,"1,223,861.6",5.9361 ns,15.00,2.541,2.000,0.0821,11,*,No,1.0319,0.0000,0.0000,"1,868 B"
CountAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,811.058 ns,6.2373 ns,5.8344 ns,1.5064 ns,801.566 ns,807.131 ns,811.677 ns,814.699 ns,821.489 ns,"1,232,958.0",6.7468 ns,15.00,1.946,2.000,0.0316,11,*,No,1.0270,0.0000,0.0000,"1,868 B"
CountAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,804.171 ns,6.3255 ns,5.6074 ns,1.4986 ns,794.987 ns,800.767 ns,802.972 ns,807.161 ns,815.007 ns,"1,243,516.7",6.2507 ns,14.00,2.170,2.000,0.3728,11,*,No,1.0282,0.0000,0.0000,"1,868 B"
Enumerable.Count(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,5.469 ns,0.0436 ns,0.0407 ns,0.0105 ns,5.416 ns,5.433 ns,5.468 ns,5.496 ns,5.535 ns,"182,864,759.7",7.4947 ns,15.00,1.578,2.000,0.3001,1,*,No,0.0000,0.0000,0.0000,526 B
Enumerable.Count(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,5.461 ns,0.0291 ns,0.0272 ns,0.0070 ns,5.414 ns,5.440 ns,5.457 ns,5.480 ns,5.505 ns,"183,123,723.9",7.4965 ns,15.00,1.779,2.000,0.2251,1,*,No,0.0000,0.0000,0.0000,526 B
Enumerable.Count(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,5.959 ns,0.0513 ns,0.0479 ns,0.0124 ns,5.891 ns,5.918 ns,5.958 ns,5.989 ns,6.063 ns,"167,820,565.0",7.4938 ns,15.00,2.223,2.000,0.4173,1,*,No,0.0000,0.0000,0.0000,526 B
Enumerable.Count(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,5.496 ns,0.0494 ns,0.0462 ns,0.0119 ns,5.434 ns,5.461 ns,5.499 ns,5.516 ns,5.586 ns,"181,947,247.0",7.4940 ns,15.00,2.227,2.000,0.4238,1,*,No,0.0000,0.0000,0.0000,526 B
Enumerable.Count(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,5.583 ns,0.0464 ns,0.0434 ns,0.0112 ns,5.536 ns,5.544 ns,5.560 ns,5.611 ns,5.669 ns,"179,099,959.3",7.4944 ns,15.00,1.651,2.000,0.4097,1,*,No,0.0000,0.0000,0.0000,526 B
Enumerable.Count(),Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,5.565 ns,0.0402 ns,0.0376 ns,0.0097 ns,5.510 ns,5.539 ns,5.554 ns,5.581 ns,5.643 ns,"179,706,824.1",7.4951 ns,15.00,2.566,2.000,0.6809,1,*,No,0.0000,0.0000,0.0000,526 B
