Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Completed Work Items,Lock Contentions,Code Size,Exceptions,Gen0,Gen1,Gen2,Allocated
IsNotEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,0.2962 ns,0.0095 ns,0.0089 ns,0.0023 ns,0.2935 ns,0.2819 ns,0.2890 ns,0.3016 ns,0.3115 ns,"3,375,865,922.9",7.499 ns,15.00,1,No,0.0000,0.0000,84 B,0.0000,0.0000,0.0000,0.0000,0 B
IsNotEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,0.2792 ns,0.0104 ns,0.0092 ns,0.0025 ns,0.2808 ns,0.2649 ns,0.2706 ns,0.2857 ns,0.2945 ns,"3,581,103,222.1",6.999 ns,14.00,1,No,0.0000,0.0000,84 B,0.0000,0.0000,0.0000,0.0000,0 B
IsNotEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,0.3038 ns,0.0135 ns,0.0127 ns,0.0033 ns,0.3025 ns,0.2840 ns,0.2952 ns,0.3107 ns,0.3285 ns,"3,291,408,841.0",7.498 ns,15.00,1,No,0.0000,0.0000,84 B,0.0000,0.0000,0.0000,0.0000,0 B
IsNotEmpty,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,0.3068 ns,0.0176 ns,0.0156 ns,0.0042 ns,0.3019 ns,0.2825 ns,0.2965 ns,0.3169 ns,0.3411 ns,"3,259,499,681.4",6.998 ns,14.00,1,No,0.0000,0.0000,84 B,0.0000,0.0000,0.0000,0.0000,0 B
ToImmutableSortedSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"12,015.3036 ns",86.1099 ns,71.9056 ns,19.9430 ns,"12,018.3380 ns","11,883.1177 ns","11,977.4918 ns","12,047.6120 ns","12,150.2762 ns","83,227.2",-3.472 ns,13.00,6,No,0.0000,0.0000,"5,137 B",0.0000,0.1221,0.0000,0.0000,3920 B
ToImmutableSortedSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"28,559.3464 ns",163.9250 ns,153.3355 ns,39.5911 ns,"28,529.7867 ns","28,357.1640 ns","28,468.0771 ns","28,674.0936 ns","28,795.2927 ns","35,014.8",-12.296 ns,15.00,7,No,0.0000,0.0000,"5,134 B",0.0000,0.2441,0.0000,0.0000,7520 B
ToImmutableSortedSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"65,604.8393 ns",510.2759 ns,477.3124 ns,123.2415 ns,"65,535.8704 ns","64,802.0569 ns","65,293.2251 ns","65,817.6941 ns","66,370.5017 ns","15,242.8",-54.121 ns,15.00,8,No,0.0000,0.0000,"5,144 B",0.0000,0.4883,0.0000,0.0000,14704 B
ToImmutableSortedSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"161,298.3618 ns","1,396.2121 ns","1,306.0176 ns",337.2123 ns,"161,244.6655 ns","159,314.1968 ns","160,362.1338 ns","162,196.7407 ns","163,855.1392 ns","6,199.7",-161.106 ns,15.00,9,No,0.0000,0.0000,"5,137 B",0.0000,0.4883,0.0000,0.0000,29056 B
ToImmutableSortedSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"371,254.2794 ns","4,284.2984 ns","3,797.9189 ns","1,015.0365 ns","371,100.2441 ns","365,696.0938 ns","368,967.2974 ns","372,441.2720 ns","379,791.6992 ns","2,693.6",-500.518 ns,14.00,10,No,0.0000,0.0000,"5,153 B",0.0000,0.9766,0.0000,0.0000,57744 B
ToImmutableSortedSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"820,263.1278 ns","6,782.7698 ns","6,012.7488 ns","1,606.9747 ns","818,674.9023 ns","812,520.7031 ns","815,961.4014 ns","824,805.2246 ns","830,418.7500 ns","1,219.1",-796.487 ns,14.00,11,No,0.0000,0.0000,"5,148 B",0.0000,2.9297,0.0000,0.0000,115104 B
ToImmutableSortedSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"1,873,357.6042 ns","12,546.8623 ns","11,736.3427 ns","3,030.3107 ns","1,874,446.2891 ns","1,852,766.6016 ns","1,866,068.5547 ns","1,882,505.1758 ns","1,891,800.0000 ns",533.8,"-1,507.655 ns",15.00,12,No,0.0000,0.0000,"5,146 B",0.0000,3.9063,0.0000,0.0000,229808 B
ToImmutableSortedSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"4,349,746.8750 ns","53,185.5111 ns","49,749.7601 ns","12,845.3328 ns","4,339,479.6875 ns","4,295,767.1875 ns","4,307,564.8438 ns","4,378,539.0625 ns","4,464,153.9062 ns",229.9,"-6,415.166 ns",15.00,13,No,0.0000,0.0000,"5,104 B",0.0000,7.8125,0.0000,0.0000,459200 B
