Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Code Size,Completed Work Items,Lock Contentions,Gen0,Exceptions,Gen1,Gen2,Allocated
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"1,509,700.38 ns","11,522.315 ns","10,777.980 ns","2,782.863 ns","1,495,667.29 ns","1,502,159.47 ns","1,507,407.13 ns","1,516,031.05 ns","1,530,807.32 ns",662.4,"-1,383.9313 ns",15.00,20,No,"14,895 B",0.0000,0.0000,39.0625,0.0000,5.8594,0.0000,1278696 B
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"4,098,010.32 ns","51,861.785 ns","45,974.122 ns","12,287.101 ns","4,022,925.78 ns","4,069,256.25 ns","4,096,634.77 ns","4,119,321.09 ns","4,174,507.03 ns",244.0,"-6,136.5505 ns",14.00,22,No,"14,893 B",0.0000,0.0000,7.8125,0.0000,0.0000,0.0000,2556696 B
GetCacheItem,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",64,43.25 ns,0.222 ns,0.197 ns,0.053 ns,42.83 ns,43.13 ns,43.30 ns,43.38 ns,43.48 ns,"23,123,818.8",6.9737 ns,14.00,1,No,"2,597 B",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0 B
GetCacheItem,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",128,45.55 ns,0.530 ns,0.496 ns,0.128 ns,44.67 ns,45.22 ns,45.60 ns,45.94 ns,46.23 ns,"21,952,810.4",7.4360 ns,15.00,1,No,"2,600 B",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0 B
GetCacheItem,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",256,44.48 ns,0.446 ns,0.417 ns,0.108 ns,43.82 ns,44.11 ns,44.53 ns,44.76 ns,45.21 ns,"22,483,606.2",7.4461 ns,15.00,1,No,"2,597 B",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0 B
GetCacheItem,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",512,42.98 ns,0.306 ns,0.286 ns,0.074 ns,42.15 ns,42.90 ns,43.09 ns,43.12 ns,43.34 ns,"23,264,630.1",7.4630 ns,15.00,1,No,"2,597 B",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0 B
GetCacheItem,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",1024,43.10 ns,0.445 ns,0.416 ns,0.108 ns,42.40 ns,42.82 ns,43.05 ns,43.37 ns,43.97 ns,"23,199,759.9",7.4462 ns,15.00,1,No,"2,600 B",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0 B
GetCacheItem,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",2048,42.62 ns,0.368 ns,0.345 ns,0.089 ns,41.78 ns,42.48 ns,42.70 ns,42.86 ns,43.03 ns,"23,462,468.3",7.4555 ns,15.00,1,No,"2,600 B",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0 B
GetCacheItem,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",4096,44.46 ns,0.910 ns,1.215 ns,0.243 ns,41.85 ns,44.38 ns,45.05 ns,45.30 ns,45.62 ns,"22,493,713.3",12.3785 ns,25.00,1,No,"2,589 B",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0 B
GetCacheItem,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",8192,43.50 ns,0.338 ns,0.316 ns,0.082 ns,43.04 ns,43.27 ns,43.46 ns,43.74 ns,44.12 ns,"22,987,782.8",7.4592 ns,15.00,1,No,"2,589 B",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0 B
GetCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",64,862.65 ns,4.509 ns,3.766 ns,1.044 ns,856.82 ns,859.60 ns,862.38 ns,864.09 ns,870.42 ns,"1,159,215.3",5.9778 ns,13.00,2,No,"1,787 B",1.0150,0.0000,0.0076,0.0000,0.0000,0.0000,280 B
GetCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",128,870.82 ns,6.755 ns,5.988 ns,1.600 ns,860.73 ns,867.21 ns,872.48 ns,874.96 ns,879.88 ns,"1,148,340.1",6.1999 ns,14.00,2,No,"1,787 B",1.0148,0.0000,0.0076,0.0000,0.0000,0.0000,280 B
GetCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",256,884.99 ns,10.342 ns,9.674 ns,2.498 ns,870.91 ns,879.41 ns,880.89 ns,890.11 ns,903.47 ns,"1,129,953.0",6.2511 ns,15.00,2,No,"1,787 B",1.0149,0.0000,0.0076,0.0000,0.0000,0.0000,280 B
GetCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",512,869.19 ns,4.524 ns,4.010 ns,1.072 ns,862.19 ns,866.55 ns,867.73 ns,872.47 ns,875.58 ns,"1,150,491.4",6.4641 ns,14.00,2,No,"1,787 B",1.0149,0.0000,0.0076,0.0000,0.0000,0.0000,280 B
GetCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",1024,899.60 ns,5.213 ns,4.621 ns,1.235 ns,892.07 ns,895.99 ns,899.34 ns,903.89 ns,906.29 ns,"1,111,607.8",6.3825 ns,14.00,2,No,"1,787 B",1.0158,0.0000,0.0038,0.0000,0.0000,0.0000,280 B
GetCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",2048,878.82 ns,6.045 ns,5.359 ns,1.432 ns,871.91 ns,875.24 ns,877.60 ns,882.60 ns,888.45 ns,"1,137,888.4",6.2839 ns,14.00,2,No,"1,787 B",1.0149,0.0000,0.0076,0.0000,0.0000,0.0000,280 B
GetCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",4096,857.50 ns,6.144 ns,5.747 ns,1.484 ns,847.32 ns,853.87 ns,857.35 ns,860.57 ns,870.51 ns,"1,166,180.9",6.7580 ns,15.00,2,No,"1,787 B",1.0149,0.0000,0.0076,0.0000,0.0000,0.0000,280 B
GetCacheItemAsync,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",8192,864.99 ns,5.495 ns,4.871 ns,1.302 ns,855.53 ns,861.70 ns,865.27 ns,867.49 ns,873.99 ns,"1,156,076.3",6.3491 ns,14.00,2,No,"1,793 B",1.0151,0.0000,0.0086,0.0000,0.0000,0.0000,280 B
