Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Rank,Baseline,Exceptions,Code Size,Gen0,Completed Work Items,Lock Contentions,Gen1,Gen2,Allocated
'RemoveAt: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",32,55.55 ns,1.142 ns,2.947 ns,0.334 ns,55.13 ns,50.25 ns,52.95 ns,58.57 ns,60.92 ns,"18,000,975.6",38.833 ns,78.00,6,No,0.0000,"2,487 B",0.0123,0.0000,0.0000,0.0001,0.0001,3089 B
'RemoveAt: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",64,80.87 ns,1.518 ns,1.345 ns,0.360 ns,80.57 ns,78.88 ns,80.03 ns,81.20 ns,83.43 ns,"12,365,429.7",6.820 ns,14.00,8,No,0.0000,"2,487 B",0.0272,0.0000,0.0000,0.0000,0.0000,632 B
'RemoveAt: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",128,145.48 ns,1.517 ns,1.419 ns,0.366 ns,144.94 ns,143.82 ns,144.53 ns,146.32 ns,148.21 ns,"6,873,883.2",7.317 ns,15.00,10,No,0.0000,"2,487 B",0.0374,0.0000,0.0000,0.0000,0.0000,1144 B
'RemoveAt: FastSortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**NEW**",256,258.86 ns,1.413 ns,1.180 ns,0.327 ns,258.63 ns,256.83 ns,258.19 ns,259.71 ns,261.41 ns,"3,863,028.1",6.336 ns,13.00,12,No,0.0000,"2,686 B",0.0715,0.0000,0.0000,0.0000,0.0000,2168 B
'RemoveAt: With Comparer(LastName) - SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**FOR COMPARISON**",2,39.53 ns,0.152 ns,0.118 ns,0.034 ns,39.55 ns,39.28 ns,39.47 ns,39.60 ns,39.68 ns,"25,295,234.1",5.983 ns,12.00,3,No,0.0000,"4,099 B",0.0036,0.0000,0.0000,0.0001,0.0001,104 B
'RemoveAt: With Comparer(LastName) - SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**FOR COMPARISON**",4,58.50 ns,1.039 ns,0.921 ns,0.246 ns,58.87 ns,56.14 ns,57.99 ns,59.06 ns,59.48 ns,"17,094,943.6",6.877 ns,14.00,6,No,0.0000,"4,570 B",0.0050,0.0000,0.0000,0.0002,0.0002,116 B
'RemoveAt: With Comparer(LastName) - SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**FOR COMPARISON**",8,89.07 ns,0.412 ns,0.365 ns,0.098 ns,89.08 ns,88.22 ns,88.86 ns,89.22 ns,89.84 ns,"11,227,605.4",6.951 ns,14.00,8,No,0.0000,"4,569 B",0.0069,0.0000,0.0000,0.0002,0.0002,200 B
'RemoveAt: With Comparer(LastName) - SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**FOR COMPARISON**",16,163.81 ns,1.248 ns,1.167 ns,0.301 ns,163.64 ns,162.21 ns,162.90 ns,164.65 ns,166.01 ns,"6,104,644.1",7.349 ns,15.00,11,No,0.0000,"5,455 B",0.0131,0.0000,0.0000,0.0005,0.0005,291 B
'RemoveAt: With Comparer(LastName) - SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**FOR COMPARISON**",32,399.82 ns,2.433 ns,2.157 ns,0.576 ns,399.42 ns,397.38 ns,397.87 ns,401.41 ns,404.13 ns,"2,501,132.6",6.712 ns,14.00,15,No,0.0000,"5,165 B",0.0205,0.0000,0.0000,0.0010,0.0010,584 B
'RemoveAt: With Comparer(LastName) - SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**FOR COMPARISON**",64,995.98 ns,6.834 ns,6.392 ns,1.650 ns,994.16 ns,987.84 ns,990.61 ns,999.76 ns,"1,008.27 ns","1,004,035.3",6.675 ns,15.00,18,No,0.0000,"5,152 B",0.0305,0.0000,0.0000,0.0000,0.0000,1096 B
'RemoveAt: With Comparer(LastName) - SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**FOR COMPARISON**",128,"2,123.83 ns",28.387 ns,26.553 ns,6.856 ns,"2,123.30 ns","2,076.46 ns","2,107.71 ns","2,142.69 ns","2,166.08 ns","470,846.6",4.072 ns,15.00,21,No,0.0000,"5,198 B",0.1030,0.0000,0.0000,0.0000,0.0000,2120 B
'RemoveAt: With Comparer(LastName) - SortedList<ref>',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,**FOR COMPARISON**",256,"4,853.99 ns",33.551 ns,31.383 ns,8.103 ns,"4,859.93 ns","4,785.72 ns","4,834.93 ns","4,880.10 ns","4,892.60 ns","206,016.2",3.448 ns,15.00,23,No,0.0000,"5,407 B",0.1373,0.0000,0.0000,0.0000,0.0000,4168 B
