Method,Categories,Count,Mean,Allocated
Partition,Collections,128,"1,139.09",1944 B
Partition,Collections,256,"2,134.20",3480 B
Partition,Collections,512,"4,037.82",0 B
Partition,Collections,1024,"7,663.77",78187 B
Partition,Collections,2048,"14,350.78",24984 B
Partition,Collections,4096,"28,926.62",49560 B
Partition,Collections,8192,"56,477.49",98712 B
PickRandom,Collections,64,50.948,104 B
PickRandom,Collections,128,53.415,104 B
PickRandom,Collections,256,49.893,104 B
PickRandom,Collections,512,55.372,0 B
PickRandom,Collections,1024,53.381,104 B
PickRandom,Collections,2048,50.49,104 B
PickRandom,Collections,4096,54.701,104 B
PickRandom,Collections,8192,54.598,104 B
RemoveDuplicates,Collections,64,"2,994.76",1744 B
RemoveDuplicates,Collections,128,"6,126.35",2944 B
RemoveDuplicates,Collections,256,"12,445.91",6184 B
RemoveDuplicates,Collections,512,"26,817.78",10744 B
RemoveDuplicates,Collections,1024,"61,995.19",22384 B
RemoveDuplicates,Collections,2048,"123,884.43",46984 B
RemoveDuplicates,Collections,4096,"264,124.88",97544 B
RemoveDuplicates,Collections,8192,"613,865.10",168718 B
RemoveNulls,"Collections,**NEW**",64,NA,NA
ReplaceIf,"**NEW**,Collections",64,572.447,272 B
ReplaceIf,"**NEW**,Collections",128,"1,094.88",272 B
ReplaceIf,"**NEW**,Collections",256,"2,370.42",272 B
ReplaceIf,"**NEW**,Collections",512,"4,860.42",272 B
ReplaceIf,"**NEW**,Collections",1024,"12,092.17",272 B
ReplaceIf,"**NEW**,Collections",2048,"29,282.84",272 B
ReplaceIf,"**NEW**,Collections",4096,"64,421.49",272 B
ReplaceIf,"**NEW**,Collections",8192,"136,601.26",272 B
Shuffle,Collections,64,828.02,584 B
Shuffle,Collections,128,"1,627.65",1096 B
Shuffle,Collections,256,"3,098.53",0 B
Shuffle,Collections,512,"6,401.92",4168 B
Shuffle,Collections,1024,"11,583.81",8264 B
Shuffle,Collections,2048,"22,675.49",16456 B
Shuffle,Collections,4096,"45,500.23",32840 B
Shuffle,Collections,8192,"92,966.47",0 B
StartsWith,Collections,64,56.166,80 B
StartsWith,Collections,128,57.527,80 B
StartsWith,Collections,256,55.847,80 B
StartsWith,Collections,512,55.976,80 B
StartsWith,Collections,1024,56.398,80 B
StartsWith,Collections,2048,57.85,80 B
StartsWith,Collections,4096,56.055,80 B
