Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Completed Work Items,Lock Contentions,Exceptions
CopyTo,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,"52,808.88 ns",182.988 ns,171.167 ns,44.195 ns,"52,503.49 ns","52,703.90 ns","52,781.54 ns","52,925.52 ns","53,120.14 ns","18,936.2",-14.5976 ns,15.00,2.111,2.000,0.1475,18,*,No,"2,200 B",0.0000,0.0000,0.0000
CopyTo,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,"65,044.16 ns",193.621 ns,151.166 ns,43.638 ns,"64,723.46 ns","64,985.73 ns","65,088.85 ns","65,152.74 ns","65,205.95 ns","15,374.2",-15.8190 ns,12.00,2.471,2.000,-0.8891,19,*,No,"2,296 B",0.0000,0.0000,0.0000
CopyTo,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,4096,"87,454.57 ns",582.445 ns,544.820 ns,140.672 ns,"86,690.92 ns","87,017.32 ns","87,365.53 ns","88,024.24 ns","88,464.03 ns","11,434.5",-62.8359 ns,15.00,1.664,2.000,0.3268,20,*,No,"2,305 B",0.0000,0.0000,0.0000
CopyTo,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,8192,"170,253.93 ns","1,776.618 ns","1,661.850 ns",429.088 ns,"168,206.36 ns","169,174.57 ns","169,479.68 ns","171,379.49 ns","173,150.52 ns","5,873.6",-207.0439 ns,15.00,1.817,2.000,0.7136,21,*,No,"2,300 B",0.0000,0.0000,0.0000
Count,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,"1,358.60 ns",3.598 ns,3.004 ns,0.833 ns,"1,353.79 ns","1,357.54 ns","1,358.53 ns","1,360.35 ns","1,363.88 ns","736,051.1",6.0834 ns,13.00,1.908,2.000,0.0396,4,*,No,903 B,0.0000,0.0000,0.0000
Count,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,"2,686.13 ns",7.735 ns,7.235 ns,1.868 ns,"2,671.59 ns","2,681.10 ns","2,685.93 ns","2,689.74 ns","2,700.90 ns","372,282.8",6.5659 ns,15.00,2.630,2.000,0.0715,6,*,No,903 B,0.0000,0.0000,0.0000
Count,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,256,"2,680.77 ns",8.107 ns,7.583 ns,1.958 ns,"2,670.43 ns","2,675.70 ns","2,678.47 ns","2,685.13 ns","2,698.79 ns","373,027.8",6.5210 ns,15.00,2.778,2.000,0.8195,6,*,No,903 B,0.0000,0.0000,0.0000
Count,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,512,"5,383.40 ns",27.978 ns,26.171 ns,6.757 ns,"5,346.94 ns","5,358.89 ns","5,384.24 ns","5,399.50 ns","5,430.84 ns","185,756.3",4.1214 ns,15.00,1.659,2.000,0.2239,8,*,No,903 B,0.0000,0.0000,0.0000
Count,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,"10,791.11 ns",76.307 ns,67.645 ns,18.079 ns,"10,708.54 ns","10,733.39 ns","10,783.85 ns","10,826.66 ns","10,949.49 ns","92,668.9",-2.0394 ns,14.00,2.728,2.000,0.7265,11,*,No,"1,008 B",0.0000,0.0000,0.0000
Count,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,"21,419.61 ns",70.625 ns,58.975 ns,16.357 ns,"21,316.28 ns","21,389.64 ns","21,417.52 ns","21,450.96 ns","21,537.35 ns","46,686.2",-1.6784 ns,13.00,2.331,2.000,0.1429,15,*,No,903 B,0.0000,0.0000,0.0000
