Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'AreEqual: as Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",1024,2.4787 ns,0.0229 ns,0.0191 ns,0.0053 ns,2.4819 ns,2.4530 ns,2.4645 ns,2.4871 ns,2.5148 ns,"403,435,893.080",6.4974 ns,13.00,1.953,2.000,0.2498,16,*,No,0.0000,581 B
'AreEqual: as Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",2048,2.5214 ns,0.0272 ns,0.0254 ns,0.0066 ns,2.5266 ns,2.4804 ns,2.5010 ns,2.5352 ns,2.5628 ns,"396,599,825.342",7.4967 ns,15.00,1.777,2.000,0.0520,16,*,No,0.0000,581 B
'AreEqual: as Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",4096,2.8506 ns,0.0400 ns,0.0334 ns,0.0093 ns,2.8423 ns,2.8184 ns,2.8292 ns,2.8689 ns,2.9392 ns,"350,799,031.773",6.4954 ns,13.00,4.035,2.000,1.3448,17,*,No,0.0000,581 B
'AreEqual: as Reference',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Ref Type,Collections",8192,3.0844 ns,0.0435 ns,0.0407 ns,0.0105 ns,3.0786 ns,3.0266 ns,3.0576 ns,3.1048 ns,3.1731 ns,"324,207,298.690",7.4947 ns,15.00,2.307,2.000,0.6399,18,*,No,0.0000,581 B
'AreEqual: as Value',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Value Type,Collections",64,2.3255 ns,0.0264 ns,0.0247 ns,0.0064 ns,2.3284 ns,2.2922 ns,2.3050 ns,2.3429 ns,2.3666 ns,"430,017,006.603",7.4968 ns,15.00,1.471,2.000,0.2330,15,*,No,0.0000,260 B
'AreEqual: as Value',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Value Type,Collections",128,2.3125 ns,0.0240 ns,0.0225 ns,0.0058 ns,2.3212 ns,2.2824 ns,2.2894 ns,2.3290 ns,2.3451 ns,"432,433,727.223",7.4971 ns,15.00,1.302,2.000,-0.0447,15,*,No,0.0000,260 B
'AreEqual: as Value',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Value Type,Collections",256,2.2872 ns,0.0177 ns,0.0157 ns,0.0042 ns,2.2877 ns,2.2573 ns,2.2748 ns,2.2947 ns,2.3154 ns,"437,218,833.676",6.9979 ns,14.00,2.138,2.000,-0.0183,15,*,No,0.0000,260 B
'AreEqual: as Value',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Value Type,Collections",512,2.3083 ns,0.0204 ns,0.0171 ns,0.0047 ns,2.3106 ns,2.2778 ns,2.3010 ns,2.3166 ns,2.3334 ns,"433,216,677.230",6.4976 ns,13.00,1.971,2.000,-0.2705,15,*,No,0.0000,260 B
'AreEqual: as Value',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Value Type,Collections",1024,2.3201 ns,0.0254 ns,0.0225 ns,0.0060 ns,2.3175 ns,2.2938 ns,2.3016 ns,2.3303 ns,2.3709 ns,"431,016,656.887",6.9970 ns,14.00,2.515,2.000,0.6544,15,*,No,0.0000,260 B
'AreEqual: as Value',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Array,Value Type,Collections",2048,2.3002 ns,0.0293 ns,0.0274 ns,0.0071 ns,2.3018 ns,2.2587 ns,2.2748 ns,2.3200 ns,2.3534 ns,"434,737,470.094",7.4965 ns,15.00,1.760,2.000,0.2091,15,*,No,0.0000,260 B
