Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'GetOrAdd: TryAdd',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1024,"3,598,863.70 ns","41,424.345 ns","34,591.205 ns","9,593.874 ns","3,511,942.19 ns","3,576,729.30 ns","3,614,353.91 ns","3,622,002.73 ns","3,629,100.00 ns",277.87,"-4,790.437 ns",13.00,3.365,2.000,-1.1802,33,*,No,0.0000,"17,470 B"
'GetOrAdd: TryAdd',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2048,"9,137,946.09 ns","98,600.656 ns","87,406.914 ns","23,360.480 ns","9,001,229.69 ns","9,085,827.34 ns","9,122,892.97 ns","9,180,882.81 ns","9,329,350.00 ns",109.43,"-11,673.240 ns",14.00,2.464,2.000,0.3967,35,*,No,0.0000,"16,695 B"
'GetOrAdd: TryAdd',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,4096,"16,278,563.62 ns","244,277.320 ns","216,545.482 ns","57,874.214 ns","16,005,021.88 ns","16,110,359.38 ns","16,192,928.12 ns","16,469,834.38 ns","16,701,650.00 ns",61.43,"-28,930.107 ns",14.00,1.707,2.000,0.4615,36,*,No,0.0000,"16,994 B"
'GetOrAdd: TryAdd',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,8192,"33,677,820.44 ns","337,273.303 ns","315,485.657 ns","81,458.046 ns","33,029,426.67 ns","33,445,896.67 ns","33,715,133.33 ns","33,882,663.33 ns","34,181,173.33 ns",29.69,"-40,721.523 ns",15.00,2.061,2.000,-0.3722,38,*,No,0.0000,"16,997 B"
'GetOrAdd: TryUpdate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,64,"203,794.81 ns","1,128.156 ns","1,055.278 ns",272.472 ns,"202,355.81 ns","202,930.43 ns","203,837.72 ns","204,225.87 ns","205,957.76 ns","4,906.90",-128.736 ns,15.00,2.115,2.000,0.4112,23,*,No,0.0000,"9,111 B"
'GetOrAdd: TryUpdate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,128,"410,562.40 ns","2,281.625 ns","2,134.234 ns",551.057 ns,"408,021.48 ns","408,980.35 ns","410,224.22 ns","411,564.36 ns","414,975.00 ns","2,435.68",-268.028 ns,15.00,2.429,2.000,0.8133,25,*,No,0.0000,"9,091 B"
'GetOrAdd: TryUpdate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,256,"889,072.90 ns","8,228.535 ns","7,696.976 ns","1,987.351 ns","877,099.41 ns","884,440.82 ns","889,677.44 ns","893,715.04 ns","903,491.41 ns","1,124.77",-986.175 ns,15.00,1.974,2.000,0.1669,27,*,No,0.0000,"15,247 B"
'GetOrAdd: TryUpdate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,512,"1,828,232.89 ns","30,213.861 ns","28,262.064 ns","7,297.234 ns","1,786,119.14 ns","1,804,102.73 ns","1,826,825.20 ns","1,852,374.12 ns","1,869,204.88 ns",546.98,"-3,641.117 ns",15.00,1.442,2.000,-0.1544,30,*,No,0.0000,"16,751 B"
'GetOrAdd: TryUpdate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1024,"3,600,433.75 ns","65,996.319 ns","61,732.998 ns","15,939.391 ns","3,522,684.38 ns","3,553,757.42 ns","3,588,428.52 ns","3,642,141.02 ns","3,713,310.55 ns",277.74,"-7,962.196 ns",15.00,1.926,2.000,0.4899,33,*,No,0.0000,"16,910 B"
'GetOrAdd: TryUpdate',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,2048,"8,201,115.02 ns","107,176.113 ns","89,496.908 ns","24,821.976 ns","8,114,098.44 ns","8,161,612.50 ns","8,177,882.81 ns","8,200,945.31 ns","8,476,570.31 ns",121.93,"-12,404.488 ns",13.00,7.004,2.000,2.1319,34,*,No,0.0000,"16,481 B"
