Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size
'OrderBy(): Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,1024,"37,900.2 ns",336.72 ns,281.18 ns,77.99 ns,"37,539.9 ns","37,713.2 ns","37,843.9 ns","38,099.2 ns","38,401.1 ns","26,385.111",-32.4925 ns,13.00,1.688,2.000,0.2860,11,*,No,0.0000,"3,266 B"
'OrderBy(): Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,2048,"88,014.3 ns",975.48 ns,864.74 ns,231.11 ns,"86,601.5 ns","87,527.6 ns","88,106.7 ns","88,419.3 ns","89,784.8 ns","11,361.796",-108.5558 ns,14.00,2.461,2.000,0.1205,15,*,No,0.0000,"3,168 B"
'OrderBy(): Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,4096,"171,214.0 ns","1,744.45 ns","1,456.70 ns",404.02 ns,"168,766.0 ns","170,711.1 ns","171,469.5 ns","171,883.7 ns","173,856.0 ns","5,840.645",-195.5076 ns,13.00,2.188,2.000,-0.2464,19,*,No,0.0000,"3,177 B"
'OrderBy(): Ref',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,,8192,"357,988.0 ns","5,362.66 ns","5,016.23 ns","1,295.19 ns","350,119.5 ns","354,167.8 ns","359,230.7 ns","360,512.0 ns","366,161.2 ns","2,793.390",-640.0930 ns,15.00,1.772,2.000,-0.1863,22,*,No,0.0000,"2,884 B"
'OrderBy(): Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Value Type,64,"1,829.3 ns",11.20 ns,10.47 ns,2.70 ns,"1,816.2 ns","1,820.7 ns","1,825.4 ns","1,835.5 ns","1,848.3 ns","546,642.523",6.1481 ns,15.00,1.831,2.000,0.4715,1,*,No,0.0000,"2,892 B"
'OrderBy(): Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Value Type,128,"3,706.3 ns",28.01 ns,26.20 ns,6.77 ns,"3,664.4 ns","3,688.9 ns","3,710.0 ns","3,724.8 ns","3,750.4 ns","269,808.455",4.1172 ns,15.00,1.753,2.000,-0.0060,2,*,No,0.0000,"2,897 B"
'OrderBy(): Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Value Type,256,"7,328.9 ns",26.12 ns,24.43 ns,6.31 ns,"7,291.1 ns","7,307.9 ns","7,327.9 ns","7,346.3 ns","7,377.1 ns","136,445.426",4.3461 ns,15.00,1.921,2.000,0.2696,4,*,No,0.0000,"2,995 B"
'OrderBy(): Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Value Type,512,"15,742.3 ns",156.56 ns,146.44 ns,37.81 ns,"15,569.8 ns","15,607.1 ns","15,737.0 ns","15,841.4 ns","16,033.4 ns","63,523.209",-11.4057 ns,15.00,1.739,2.000,0.3452,8,*,No,0.0000,"2,897 B"
'OrderBy(): Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Value Type,1024,"36,321.2 ns",309.98 ns,289.95 ns,74.87 ns,"35,657.0 ns","36,210.6 ns","36,328.8 ns","36,532.1 ns","36,651.8 ns","27,532.126",-29.9330 ns,15.00,2.825,2.000,-0.8988,11,*,No,0.0000,"3,168 B"
'OrderBy(): Val',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Value Type,2048,"88,394.9 ns","1,722.69 ns","1,769.08 ns",429.06 ns,"86,378.5 ns","87,081.2 ns","87,777.7 ns","89,696.9 ns","92,187.0 ns","11,312.866",-206.0319 ns,17.00,2.317,2.000,0.8343,15,*,No,0.0000,"3,133 B"
