Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size,Completed Work Items,Lock Contentions
'WriteAsync: IEnumerable',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,"4,413.6 ns",22.65 ns,20.07 ns,5.37 ns,"4,415.8 ns","4,369.2 ns","4,401.7 ns","4,423.3 ns","4,442.5 ns","226,571.94",4.3174 ns,14.00,2.581,2.000,-0.5133,4,*,No,0.0000,"3,180 B",0.0000,0.0000
'WriteAsync: IEnumerable',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,256,"8,506.9 ns",62.07 ns,58.06 ns,14.99 ns,"8,493.3 ns","8,423.2 ns","8,463.7 ns","8,556.7 ns","8,610.3 ns","117,551.76",0.0041 ns,15.00,1.610,2.000,0.2230,7,*,No,0.0000,"3,180 B",0.0000,0.0000
'WriteAsync: IEnumerable',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,512,"16,858.3 ns",96.12 ns,85.21 ns,22.77 ns,"16,852.8 ns","16,692.7 ns","16,821.4 ns","16,904.9 ns","17,014.1 ns","59,317.86",-4.3864 ns,14.00,2.471,2.000,-0.1139,10,*,No,0.0000,"3,180 B",0.0000,0.0000
'WriteAsync: IEnumerable',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,"33,154.7 ns",287.39 ns,254.76 ns,68.09 ns,"33,128.7 ns","32,806.5 ns","32,983.4 ns","33,290.9 ns","33,656.9 ns","30,161.63",-27.0437 ns,14.00,2.219,2.000,0.4812,13,*,No,0.0000,"3,180 B",0.0000,0.0000
'WriteAsync: IEnumerable',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,"64,227.1 ns",292.95 ns,274.03 ns,70.75 ns,"64,275.7 ns","63,657.9 ns","63,989.4 ns","64,396.8 ns","64,657.8 ns","15,569.76",-27.8768 ns,15.00,2.120,2.000,-0.4524,16,*,No,0.0000,"3,180 B",0.0000,0.0000
'WriteAsync: IEnumerable',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,4096,"127,285.2 ns",466.63 ns,436.49 ns,112.70 ns,"127,203.1 ns","126,417.2 ns","127,020.9 ns","127,685.0 ns","127,888.0 ns","7,856.37",-48.8501 ns,15.00,1.824,2.000,-0.1827,19,*,No,0.0000,"3,178 B",0.0000,0.0000
'WriteAsync: IEnumerable',Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,8192,"310,899.8 ns","4,858.07 ns","4,306.55 ns","1,150.98 ns","310,623.0 ns","303,014.4 ns","309,605.4 ns","311,431.7 ns","318,358.6 ns","3,216.47",-568.4875 ns,14.00,2.423,2.000,0.0753,25,*,No,0.0000,"3,178 B",0.0000,0.0000
TryPeek,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,Async",64,348.7 ns,7.17 ns,21.15 ns,2.12 ns,343.3 ns,323.8 ns,330.0 ns,372.9 ns,389.3 ns,"2,867,395.83",48.9424 ns,100.00,1.723,3.150,0.5586,1,*,No,0.0000,"2,460 B",0.0000,0.0000
TryPeek,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,Async",128,356.0 ns,7.71 ns,22.74 ns,2.27 ns,348.7 ns,326.9 ns,334.3 ns,380.0 ns,428.4 ns,"2,808,743.64",48.8631 ns,100.00,2.254,3.879,0.5583,1,*,No,0.0000,"2,451 B",0.0000,0.0000
TryPeek,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,"Collections,Async",256,383.6 ns,4.97 ns,4.41 ns,1.18 ns,383.2 ns,377.1 ns,381.1 ns,385.8 ns,390.8 ns,"2,606,857.31",6.4113 ns,14.00,1.828,2.000,0.1765,1,*,No,0.0000,"2,411 B",0.0000,0.0000
