Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
ToDelimitedString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"57,846,881.0 ns","622,949.28 ns","552,228.31 ns","147,589.22 ns","57,952,250.0 ns","56,656,800.0 ns","57,801,025.0 ns","58,117,316.7 ns","58,453,100.0 ns",17.287,"-73,787.6125 ns",14.00,2.492,2.000,-0.8654,43,*,No,NA,0.0000
ToDelimitedString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"119,189,142.9 ns","1,513,948.46 ns","1,342,075.88 ns","358,684.87 ns","119,547,000.0 ns","116,083,300.0 ns","118,659,425.0 ns","120,017,000.0 ns","120,986,800.0 ns",8.390,"-179,335.4327 ns",14.00,2.722,2.000,-0.7048,44,*,No,NA,0.0000
ToDelimitedString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,4096,"223,804,620.0 ns","1,564,116.30 ns","1,463,075.36 ns","377,764.43 ns","223,489,300.0 ns","221,622,500.0 ns","222,895,300.0 ns","224,985,900.0 ns","226,488,500.0 ns",4.468,"-188,874.7168 ns",15.00,1.726,2.000,0.1597,45,*,No,NA,0.0000
ToDelimitedString,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,8192,"451,197,278.6 ns","4,856,665.09 ns","4,305,307.10 ns","1,150,641.72 ns","451,248,900.0 ns","443,296,400.0 ns","448,609,175.0 ns","454,076,375.0 ns","459,487,600.0 ns",2.216,"-575,313.8616 ns",14.00,2.240,2.000,0.0599,46,*,No,NA,0.0000
ToFrozenSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,64,"9,472.4 ns",99.16 ns,87.90 ns,23.49 ns,"9,445.1 ns","9,343.4 ns","9,419.4 ns","9,528.3 ns","9,642.3 ns","105,570.238",-4.7461 ns,14.00,2.140,2.000,0.5887,19,*,No,"11,630 B",0.0000
ToFrozenSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,128,"20,077.7 ns",201.41 ns,188.40 ns,48.65 ns,"20,134.3 ns","19,725.6 ns","19,927.4 ns","20,196.9 ns","20,353.9 ns","49,806.549",-16.8226 ns,15.00,1.746,2.000,-0.2206,23,*,No,"11,634 B",0.0000
ToFrozenSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,256,"42,885.4 ns",328.69 ns,307.46 ns,79.39 ns,"42,759.0 ns","42,518.6 ns","42,681.8 ns","43,068.0 ns","43,417.0 ns","23,317.955",-32.1927 ns,15.00,1.676,2.000,0.4230,28,*,No,"11,676 B",0.0000
ToFrozenSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,512,"109,159.6 ns",568.31 ns,503.79 ns,134.64 ns,"109,118.0 ns","108,492.1 ns","108,763.8 ns","109,481.7 ns","110,078.4 ns","9,160.899",-60.3220 ns,14.00,1.755,2.000,0.3577,32,*,No,"11,690 B",0.0000
ToFrozenSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,1024,"173,369.7 ns","1,037.89 ns",970.85 ns,250.67 ns,"173,202.7 ns","171,824.0 ns","172,622.6 ns","174,227.6 ns","174,490.0 ns","5,768.021",-117.8359 ns,15.00,1.374,2.000,-0.2526,34,*,No,"11,099 B",0.0000
ToFrozenSet,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections,2048,"349,079.1 ns","3,637.22 ns","3,224.30 ns",861.73 ns,"349,075.2 ns","344,516.5 ns","346,729.3 ns","349,744.6 ns","355,463.9 ns","2,864.680",-423.8655 ns,14.00,2.319,2.000,0.5923,36,*,No,"11,460 B",0.0000
