Method,Count,Mean,Allocated
ToObservableCollection,8192,"6,765.74",65648 B
ToReadOnly,64,1.7637,0 B
ToReadOnly,128,2.0181,0 B
ToReadOnly,256,2.0134,0 B
ToReadOnly,512,1.7655,0 B
ToReadOnly,1024,1.8022,0 B
ToReadOnly,2048,2.0006,0 B
ToReadOnly,4096,2.0201,0 B
ToReadOnly,8192,2.0068,0 B
ToReadOnlyObservableCollection,64,122.2542,792 B
ToReadOnlyObservableCollection,128,178.8842,1304 B
ToReadOnlyObservableCollection,256,294.3939,0 B
ToReadOnlyObservableCollection,512,534.4495,4376 B
ToReadOnlyObservableCollection,1024,"1,057.81",8472 B
ToReadOnlyObservableCollection,2048,"2,125.95",16664 B
ToReadOnlyObservableCollection,4096,"3,291.17",33048 B
ToReadOnlyObservableCollection,8192,"6,873.22",65816 B
