Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,2048,"15,878,451.042 ns","208,755.2997 ns","162,982.4067 ns","47,048.9682 ns","15,942,404.688 ns","15,504,928.125 ns","15,831,858.594 ns","15,981,991.406 ns","16,048,853.125 ns",62.98,"-23,518.4841 ns",12.00,2.758,2.000,-1.0638,46,*,No,NA,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,4096,"34,032,089.067 ns","676,861.0764 ns","1,351,764.8092 ns","193,109.2585 ns","33,358,092.857 ns","32,314,357.143 ns","32,709,864.286 ns","35,247,235.714 ns","36,374,714.286 ns",29.38,"-96,530.1292 ns",49.00,1.226,3.920,0.0764,47,*,No,NA,0.0000
AddRange,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,8192,"67,713,302.410 ns","1,349,302.8588 ns","3,601,562.7383 ns","395,322.8688 ns","65,865,600.000 ns","63,252,628.571 ns","64,199,671.429 ns","71,027,621.429 ns","73,993,214.286 ns",14.77,"-197,619.9344 ns",83.00,1.149,3.952,0.0585,48,*,No,NA,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,64,"493,893.708 ns","3,998.8296 ns","3,544.8583 ns",947.4032 ns,"492,657.031 ns","486,694.336 ns","492,001.245 ns","497,580.176 ns","499,440.039 ns","2,024.73",-466.7016 ns,14.00,2.071,2.000,-0.0520,41,*,No,"7,045 B",0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,128,"996,416.643 ns","8,960.1114 ns","7,942.9053 ns","2,122.8307 ns","996,600.781 ns","984,428.906 ns","992,698.828 ns","1,001,161.084 ns","1,009,564.258 ns","1,003.60","-1,054.4154 ns",14.00,1.937,2.000,0.0422,42,*,No,"7,045 B",0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,256,"1,997,228.281 ns","30,382.2778 ns","28,419.6016 ns","7,337.9096 ns","2,004,063.672 ns","1,937,398.047 ns","1,982,589.258 ns","2,014,669.531 ns","2,035,355.859 ns",500.69,"-3,661.4548 ns",15.00,2.275,2.000,-0.5612,43,*,No,"7,039 B",0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,512,"3,950,820.733 ns","78,206.6474 ns","107,050.1507 ns","20,994.2618 ns","3,982,973.438 ns","3,768,917.969 ns","3,841,177.344 ns","4,019,867.969 ns","4,100,128.906 ns",253.11,"-10,484.1309 ns",26.00,1.858,2.706,-0.7032,44,*,No,"7,023 B",0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,1024,"8,004,926.379 ns","152,639.6564 ns","156,749.6892 ns","38,017.3839 ns","8,054,940.625 ns","7,779,251.562 ns","7,881,292.188 ns","8,081,034.375 ns","8,325,359.375 ns",124.92,"-19,000.1919 ns",17.00,2.030,2.000,0.2121,45,*,No,"7,030 B",0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,2048,"15,577,952.083 ns","209,275.6336 ns","195,756.5576 ns","50,544.1258 ns","15,599,956.250 ns","15,298,237.500 ns","15,430,598.438 ns","15,668,714.062 ns","15,892,506.250 ns",64.19,"-25,264.5629 ns",15.00,1.771,2.000,0.3271,46,*,No,"7,039 B",0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Collections<>,4096,"31,941,525.417 ns","422,012.7902 ns","394,751.0259 ns","101,924.2766 ns","31,944,900.000 ns","31,318,750.000 ns","31,697,334.375 ns","32,215,562.500 ns","32,596,331.250 ns",31.31,"-50,954.6383 ns",15.00,1.782,2.000,0.0337,47,*,No,"7,027 B",0.0000
