Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Completed Work Items,Lock Contentions,Exceptions
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,"7,979,998.33 ns","138,382.560 ns","207,124.517 ns","37,815.590 ns","7,693,093.75 ns","7,824,351.56 ns","7,932,557.81 ns","8,058,961.72 ns","8,564,187.50 ns",125.31,"-18,892.7950 ns",30.00,3.120,2.000,0.8767,40,*,No,NA,0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,"15,895,612.72 ns","129,160.727 ns","114,497.620 ns","30,600.776 ns","15,677,043.75 ns","15,821,245.31 ns","15,910,915.62 ns","15,959,519.53 ns","16,108,790.62 ns",62.91,"-15,293.3881 ns",14.00,2.261,2.000,-0.1617,41,*,No,NA,0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,4096,"32,285,947.08 ns","375,894.856 ns","351,612.282 ns","90,785.901 ns","31,539,000.00 ns","32,104,556.25 ns","32,277,925.00 ns","32,539,737.50 ns","32,868,618.75 ns",30.97,"-45,385.4504 ns",15.00,2.340,2.000,-0.3609,42,*,No,NA,0.0000,0.0000,0.0000
Clear,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,8192,"66,420,138.82 ns","1,311,142.798 ns","2,261,657.085 ns","366,889.226 ns","63,413,650.00 ns","64,517,100.00 ns","66,485,168.75 ns","68,094,946.88 ns","71,593,925.00 ns",15.06,"-183,425.6132 ns",38.00,2.166,3.444,0.5418,44,*,No,NA,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,64,35.49 ns,0.285 ns,0.253 ns,0.068 ns,35.22 ns,35.30 ns,35.42 ns,35.59 ns,36.03 ns,"28,180,169.36",6.9662 ns,14.00,2.343,2.000,0.7767,1,*,No,680 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,128,34.68 ns,0.599 ns,0.560 ns,0.145 ns,33.62 ns,34.35 ns,34.90 ns,35.06 ns,35.28 ns,"28,836,599.72",7.4277 ns,15.00,1.909,2.000,-0.8456,1,*,No,680 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,256,34.21 ns,0.188 ns,0.167 ns,0.045 ns,33.99 ns,34.11 ns,34.22 ns,34.29 ns,34.59 ns,"29,231,979.39",6.9777 ns,14.00,2.661,2.000,0.5358,1,*,No,680 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,512,36.00 ns,0.123 ns,0.115 ns,0.030 ns,35.86 ns,35.91 ns,36.00 ns,36.09 ns,36.18 ns,"27,776,077.25",7.4852 ns,15.00,1.461,2.000,0.3477,1,*,No,680 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,1024,34.44 ns,0.244 ns,0.216 ns,0.058 ns,34.16 ns,34.30 ns,34.38 ns,34.61 ns,34.87 ns,"29,031,824.16",6.9711 ns,14.00,1.898,2.000,0.6161,1,*,No,680 B,0.0000,0.0000,0.0000
Contains,Job-PSYKRA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 10.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,Async,2048,34.93 ns,0.207 ns,0.193 ns,0.050 ns,34.68 ns,34.78 ns,34.93 ns,35.00 ns,35.30 ns,"28,631,014.17",7.4750 ns,15.00,2.225,2.000,0.5689,1,*,No,678 B,0.0000,0.0000,0.0000
